date,channel,sub_channel,campaign,campaign_objective,funnel_stage,region,product,audience_segment,spend,impressions,clicks,leads,mqls,sqls,conversions,revenue,bounce_rate,avg_session_duration_sec,form_completion_rate,pages_per_session,nps_score,unsubscribe_rate,confidence_tier
2025-01-01,paid_search,google,PS_Brand_Exact,brand_awareness,bottom,North,Product_A,existing_customers,1250.50,15000,675,47,21,8,3,1140.00,0.35,155,0.14,3.2,38,0,High
2025-01-01,paid_search,google,PS_Generic_Category,lead_generation,middle,North,Product_A,prospects,980.00,22000,440,31,14,5,2,760.00,0.42,120,0.10,2.8,32,0,High
2025-01-01,paid_search,bing,PS_Bing_Brand,brand_awareness,bottom,North,Product_B,existing_customers,320.00,4500,180,13,6,2,1,380.00,0.38,140,0.12,3.0,35,0,High
2025-01-01,social_paid,meta,Meta_Awareness_Video,awareness,top,North,Product_A,lookalike_1pct,850.00,45000,540,22,10,4,1,280.00,0.58,72,0.05,1.8,25,0,High
2025-01-01,social_paid,meta,Meta_Retargeting_DPA,retargeting,bottom,North,Product_A,website_visitors,420.00,12000,360,25,11,4,2,640.00,0.32,95,0.15,3.5,30,0,High
2025-01-01,social_paid,linkedin,LinkedIn_LeadGen_Decision,lead_generation,middle,South,Product_B,job_title_targeting,1100.00,8000,160,18,8,3,1,450.00,0.45,110,0.08,2.2,28,0,High
2025-01-01,social_paid,tiktok,TikTok_Brand_Spark,awareness,top,East,Product_C,interest_targeting,650.00,85000,1020,15,7,2,0,0.00,0.68,45,0.02,1.3,18,0,High
2025-01-01,organic_search,,SEO_Blog_Content,organic,top,North,Product_A,,0.00,0,280,20,9,3,1,380.00,0.40,210,0.09,4.1,55,0,High
2025-01-01,display,programmatic,Programmatic_Prospecting,awareness,top,West,Product_A,contextual,580.00,95000,380,8,4,1,0,0.00,0.72,38,0.02,1.2,15,0,High
2025-01-01,display,programmatic,Display_Retargeting_Dynamic,retargeting,bottom,North,Product_B,cart_abandoners,290.00,18000,252,18,8,3,1,320.00,0.48,68,0.08,2.5,22,0,High
2025-01-01,email,,Email_Newsletter_Weekly,nurture,middle,North,Product_A,subscribers,85.00,0,1200,96,43,16,5,1750.00,0.25,180,0.22,3.8,45,0.003,High
2025-01-01,email,,Email_Promo_Flash_Sale,conversion,bottom,North,Product_C,active_buyers,120.00,0,2800,140,63,24,8,2400.00,0.28,145,0.18,3.2,40,0.005,High
2025-01-01,video_youtube,,YT_PreRoll_Product_Demo,awareness,top,South,Product_A,in_market,720.00,32000,256,10,5,2,1,230.00,0.55,55,0.03,1.5,28,0,High
2025-01-01,events,,TradeShow_CES_2025,lead_generation,middle,West,Product_B,,4500.00,0,0,85,38,14,5,5500.00,0.12,320,0.48,0,68,0,Model-Estimated
2025-01-01,events,,Webinar_Product_Launch,lead_generation,middle,North,Product_A,registered_attendees,800.00,0,0,120,54,20,7,2100.00,0.08,1800,0.55,0,72,0,Model-Estimated
2025-01-01,direct_mail,,DM_Catalog_Q1,awareness,top,South,Product_C,,1800.00,0,0,25,11,4,1,380.00,0.50,0,0.10,0,22,0,Model-Estimated
2025-01-01,affiliate,,Affiliate_Partner_Network,conversion,bottom,North,Product_A,partner_referrals,350.00,28000,840,42,19,7,3,900.00,0.35,130,0.11,2.8,30,0,High
2025-01-01,content_marketing,,Blog_Thought_Leadership,awareness,top,North,Product_B,,200.00,0,450,32,14,5,2,600.00,0.38,240,0.07,4.5,50,0,High
2025-01-01,tv_national,,TV_Brand_Campaign_Q1,awareness,top,North,Product_A,,12000.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Model-Estimated
2025-01-01,radio,,Radio_Regional_South,awareness,top,South,Product_B,,3500.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Model-Estimated
2025-01-01,ooh,,OOH_Billboard_Highway,awareness,top,West,Product_A,,5000.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Model-Estimated
2025-01-01,call_center,,Inbound_Telesales,conversion,bottom,North,Product_B,,650.00,0,0,45,20,8,3,1200.00,0,180,0,0,42,0,Medium
2025-01-01,partner_channel,,Dealer_Activation_North,conversion,bottom,North,Product_A,,2200.00,0,0,30,14,5,2,900.00,0,0,0,0,35,0,Model-Estimated
