journey_id,touchpoint_order,total_touchpoints,touchpoint_date,channel,sub_channel,campaign,interaction_type,device,converted,conversion_date,conversion_revenue,conversion_product
J00001,1,4,2025-01-03,social_paid,meta,Meta_Awareness_Video,ad_view,mobile,TRUE,2025-01-18,1250.00,Product_A
J00001,2,4,2025-01-07,organic_search,,SEO_Blog_Content,organic_visit,desktop,TRUE,2025-01-18,1250.00,Product_A
J00001,3,4,2025-01-12,email,,Email_Newsletter_Weekly,email_click,mobile,TRUE,2025-01-18,1250.00,Product_A
J00001,4,4,2025-01-18,paid_search,google,PS_Brand_Exact,ad_click,desktop,TRUE,2025-01-18,1250.00,Product_A
J00002,1,2,2025-01-05,display,programmatic,Programmatic_Prospecting,ad_view,mobile,TRUE,2025-01-09,680.00,Product_B
J00002,2,2,2025-01-09,paid_search,google,PS_Generic_Category,ad_click,desktop,TRUE,2025-01-09,680.00,Product_B
J00003,1,1,2025-01-06,email,,Email_Promo_Flash_Sale,email_click,mobile,TRUE,2025-01-06,420.00,Product_C
J00004,1,5,2025-01-02,tv_national,,TV_Brand_Campaign_Q1,tv_exposure,tv,FALSE,,,
J00004,2,5,2025-01-08,social_paid,meta,Meta_Awareness_Video,ad_view,mobile,FALSE,,,
J00004,3,5,2025-01-11,organic_search,,SEO_Blog_Content,organic_visit,desktop,FALSE,,,
J00004,4,5,2025-01-15,display,programmatic,Display_Retargeting_Dynamic,ad_click,desktop,FALSE,,,
J00004,5,5,2025-01-20,paid_search,google,PS_Generic_Category,ad_click,mobile,FALSE,,,
J00005,1,3,2025-01-04,events,,Webinar_Product_Launch,registration,desktop,TRUE,2025-01-22,3200.00,Product_A
J00005,2,3,2025-01-15,email,,Email_Nurture,email_click,desktop,TRUE,2025-01-22,3200.00,Product_A
J00005,3,3,2025-01-22,call_center,,Inbound_Telesales,phone_call,phone,TRUE,2025-01-22,3200.00,Product_A
J00006,1,6,2025-01-01,ooh,,OOH_Billboard_Highway,billboard_exposure,outdoor,TRUE,2025-02-05,890.00,Product_B
J00006,2,6,2025-01-10,social_paid,tiktok,TikTok_Brand_Spark,ad_view,mobile,TRUE,2025-02-05,890.00,Product_B
J00006,3,6,2025-01-18,content_marketing,,Blog_Thought_Leadership,organic_visit,desktop,TRUE,2025-02-05,890.00,Product_B
J00006,4,6,2025-01-25,email,,Email_Newsletter_Weekly,email_click,mobile,TRUE,2025-02-05,890.00,Product_B
J00006,5,6,2025-02-01,social_paid,meta,Meta_Retargeting_DPA,ad_click,desktop,TRUE,2025-02-05,890.00,Product_B
J00006,6,6,2025-02-05,paid_search,google,PS_Brand_Exact,ad_click,desktop,TRUE,2025-02-05,890.00,Product_B
